title,description,link,likes,author,author_username,timestamp,mentions_in_caption,hashtags,scraped_at,views,shares,comments
"Bahkan ada yang bilang wacananya 70jt per bulan. Edannnnn bos, rakyat mana yang kau wakilkan?",,https://www.tiktok.com/@adziqaammara_/video/7425215566471810309,0.0,@adziqaammara_,adziqaammara_,2024-10-13T00:00:00+00:00,[],[],2025-08-26 07:25:06,0.0,0.0,0.0
Ya udah gak usah bayar pajak biar pemerintah kreatif!,,https://www.tiktok.com/@affiliatetracker/video/7539754716469792008,206.0,@affiliatetracker,affiliatetracker,2025-08-20T03:25:45+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
peraturan macam apa ini?,,https://www.tiktok.com/@agungsputra02/video/7533201359919779090,0.0,@agungsputra02,agungsputra02,2024-07-31T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
"Pagi tadi saya menghadiri Sidang Tahunan MPR dan Sidang Bersama DPR RI dan DPD RI di kompleks Gedung Parlemen, Senayan, Jakarta Pusat.",,https://www.tiktok.com/@agusharimurtiyudhoyono/video/7403688616733461765,5047.0,@agusharimurtiyudhoyono,agusharimurtiyudhoyono,2024-08-16T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
"Tsamara Amany Alatas, S.I.Kom., MPP. adalah seorang politikus perempuan berkebangsaan Indonesia. Jelang Pemilu 2019, ia bertugas sebagai juru bicara pasangan Calon Presiden dan Calon Wakil Presiden, Joko Widodo–Ma'ruf Amin. Setelah Pemilu 2019, Tsamara memutuskan untuk melanjutkan studi S2 di Amerika Serikat.",,https://www.tiktok.com/@ahm_id_/video/7276445999093009669,0.0,@ahm_id_,ahm_id_,2023-09-08T00:00:00+00:00,[],[],2025-08-26 07:25:00,0.0,0.0,0.0
,,https://www.tiktok.com/@ahm_id_/video/7280814416550006021,0.0,@,,,[],[],2025-08-22 04:19:48,,0.0,0.0
Recap Pemilu 2024 ✨,,https://www.tiktok.com/@ahmadlubie/video/7336466507167288581,124.0,@ahmadlubie,ahmadlubie,2024-02-17T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
Sesekali kita juga harus jadi rakyat yg membangkang.,,https://www.tiktok.com/@ainascnrrmt/video/7405888153850039557,0.0,@ainascnrrmt,ainascnrrmt,2024-08-22T00:00:00+00:00,[],[],2025-08-27 02:29:03,,0.0,0.0
Mars Pemilu -,,https://www.tiktok.com/@aji_tani01/video/7319852814065257733,417.0,@aji_tani01,aji_tani01,2024-01-03T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
,,https://www.tiktok.com/@akademibitorex/video/7538730468196355345,0.0,@,,2025-08-22T09:03:14.011248+00:00,[],[],2025-08-22 09:03:13,,0.0,0.0
,,https://www.tiktok.com/@akademibitorex/video/7540997901179161857,0.0,@,,2025-08-22T09:03:05.258015+00:00,[],[],2025-08-22 09:03:05,,0.0,0.0
Survey CSIS menyatakan 138 kursi DPR terasosiasi dengan politik dinasti. Apakah politik dinasti semakin diwajarkan dalam panggung politik kita? Lalu bagaimana nasib caleg potensial yang harus tersingkir karena nasab keluarga?,,https://www.tiktok.com/@akbarfaizal_uncensored/video/7375866277165927685,69.0,@akbarfaizal_uncensored,akbarfaizal_uncensored,2024-06-02T00:00:00+00:00,[],[],2025-08-27 02:29:06,,0.0,0.0
Saksikan selengkapnya hanya di Youtube Channel Akbar Faizal Uncensored.,,https://www.tiktok.com/@akbarfaizal_uncensored/video/7450735715958164742,1412.0,@akbarfaizal_uncensored,akbarfaizal_uncensored,2024-12-21T00:00:00+00:00,[],[],2025-08-27 02:29:00,,0.0,0.0
Saksikan selengkapnya hanya di Youtube Channel Akbar Faizal Uncensored.,,https://www.tiktok.com/@akbarfaizal_uncensored/video/7484196045677710610,0.0,@akbarfaizal_uncensored,akbarfaizal_uncensored,2025-03-21T00:00:00+00:00,[],[],2025-08-27 02:29:03,,0.0,0.0
